,acc,loss,val_acc,val_loss
0,0.74464060544667,0.5085075142103967,0.7006802757581075,0.5684213881589928
1,0.7345523330633156,0.5204825421600293,0.7210884341577284,0.5667000903564245
2,0.7616645650935805,0.4907860143713813,0.6666666682885618,0.7938692046671497
3,0.7698612864050558,0.49738958684673523,0.7210884349686759,0.6306319934170262
4,0.7686002520564826,0.48704001439023586,0.7006802708924222,0.672816377107789
5,0.7805800754365524,0.47289788264494675,0.7006802688650533,0.7836088201626629
6,0.7868852456009854,0.46362862013477696,0.734693876334599,0.5439658550178113
7,0.79192938216848,0.44328337460568396,0.7414966022887197,0.6642763403808178
8,0.8032786882990997,0.42275442564472426,0.7482993205388387,0.512899999513107
9,0.8039092057740402,0.41647146982322875,0.7551020404108527,0.6606822151716064
